Befolkningens højest fuldførte uddannelse (15-69 år) efter
bopælsområde, køn, alder, herkomst, højest fuldførte uddannelse og tid

" ,"" "","" "","" "","" "",""2020"",""2021"",""2022"",""2023"",""2024"""
Hele landet
" ,""Mænd"""
" ,"" "",""20-24 år"""
" ,"" "","" "",""Personer med dansk oprindelse"""
" ,"" "","" "","" "",""H8080 Jordbrug, natur og miljø, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8090 Sundhedsvidenskab, Ph.d."",0,0,0,0,0"
" ,"" "","" "","" "",""H8097 Videregående uddannelser uden nærmere angivelse, Ph.d."",1,0,0,0,1"
" ,"" "","" "",""Indvandrere"""
" ,"" "","" "","" "",""H3091 Grundforløb"",0,0,119,195,205"
" ,"" "","" "","" "",""H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse"",821,1218,1304,1204,1073"
" ,"" "","" "","" "",""H35 Adgangsgivende uddannelsesforløb"",27,21,15,10,19"
" ,"" "","" "","" "",""H3510 Adgangskurser - videregående udd."",6,3,1,2,6"
" ,"" "","" "","" "",""H3520 Adgangseksamen - ingeniøruddannelse"",21,18,14,8,13"
" ,"" "","" "","" "",""H3530 Adgangsgivende værkstedsskoleforløb"",0,0,0,0,0"
" ,"" "","" "","" "",""H40 Korte videregående uddannelser, KVU"",1783,1844,1778,2372,2913"
" ,"" "","" "","" "",""H4020 Pædagogisk, KVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H4024 Medier og kommunikation, KVU"",105,94,93,84,49"
" ,"" "","" "","" "",""H4025 Humanistisk og teologisk, KVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H4030 Kunstnerisk, KVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H4038 Samfundsfaglig, Økonomisk-Merkantil, KVU"",428,419,393,367,273"
" ,"" "","" "","" "",""H4058 Teknisk, KVU"",214,217,201,164,153"
" ,"" "","" "","" "",""H4075 Fødevarer, bio- og laboratorieteknik, KVU"",3,6,8,6,7"
" ,"" "","" "","" "",""H4080 Jordbrug, natur og miljø, KVU"",5,3,2,1,0"
" ,"" "","" "","" "",""H4085 Maritimt, KVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H4089 Sundhedsfaglig, KVU"",0,0,0,0,0"
" ,"" "","" "","" "",""H4095 Politi og forsvar mv., KVU"",3,3,1,0,0"
" ,"" "","" "","" "",""H4097 Videregående uddannelser uden nærmere angivelse, KVU"",1025,1102,1080,1750,2431"
