køn,herkomst,alder,uddannelse,2020,2021,2022,2023,2024,education_level
Kvinder,Efterkommere,20-24 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,4.0,6.0,7.0,7.0,5.0,Other
Kvinder,Efterkommere,20-24 år,H35 Adgangsgivende uddannelsesforløb,34.0,23.0,18.0,19.0,14.0,Low
Kvinder,Efterkommere,20-24 år,H3510 Adgangskurser - videregående udd.,21.0,13.0,8.0,9.0,8.0,Low
Kvinder,Efterkommere,20-24 år,H3520 Adgangseksamen - ingeniøruddannelse,13.0,10.0,10.0,10.0,6.0,Low
Kvinder,Efterkommere,20-24 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Kvinder,Efterkommere,20-24 år,H80 Ph.d. og forskeruddannelser,0.0,0.0,4.0,3.0,2.0,High
Kvinder,Efterkommere,20-24 år,KVU,598.0,634.0,650.0,718.0,760.0,Medium
Kvinder,Efterkommere,20-24 år,LVU,302.0,332.0,296.0,284.0,280.0,High
Kvinder,Efterkommere,20-24 år,MVU,1096.0,1268.0,1396.0,1622.0,1838.0,Medium
Kvinder,Efterkommere,20-24 år,H80 Ph.d. og forskeruddannelser,0.0,0.0,4.0,3.0,2.0,High
Kvinder,Efterkommere,25-29 år,BACH,1500.0,1598.0,1630.0,1710.0,1696.0,High
Kvinder,Efterkommere,25-29 år,H3091 Grundforløb,0.0,0.0,42.0,61.0,69.0,Low
Kvinder,Efterkommere,25-29 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,2.0,2.0,7.0,10.0,9.0,Other
Kvinder,Efterkommere,25-29 år,H35 Adgangsgivende uddannelsesforløb,33.0,27.0,21.0,16.0,15.0,Low
Kvinder,Efterkommere,25-29 år,H3510 Adgangskurser - videregående udd.,26.0,22.0,15.0,12.0,9.0,Low
Kvinder,Efterkommere,25-29 år,H3520 Adgangseksamen - ingeniøruddannelse,7.0,5.0,6.0,4.0,6.0,Low
Kvinder,Efterkommere,25-29 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Kvinder,Efterkommere,25-29 år,H80 Ph.d. og forskeruddannelser,0.0,2.0,2.0,3.0,3.0,High
Kvinder,Efterkommere,25-29 år,KVU,962.0,1028.0,1098.0,1162.0,1224.0,Medium
Kvinder,Efterkommere,25-29 år,LVU,3202.0,3716.0,4210.0,4588.0,4838.0,High
Kvinder,Efterkommere,25-29 år,MVU,4550.0,5092.0,5782.0,6234.0,6724.0,Medium
Kvinder,Efterkommere,25-29 år,H80 Ph.d. og forskeruddannelser,0.0,2.0,2.0,3.0,3.0,High
Kvinder,Efterkommere,30-34 år,BACH,370.0,404.0,506.0,574.0,614.0,High
Kvinder,Efterkommere,30-34 år,H3091 Grundforløb,0.0,0.0,16.0,23.0,21.0,Low
Kvinder,Efterkommere,30-34 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,6.0,6.0,10.0,5.0,6.0,Other
Kvinder,Efterkommere,30-34 år,H35 Adgangsgivende uddannelsesforløb,13.0,18.0,19.0,18.0,18.0,Low
Kvinder,Efterkommere,30-34 år,H3510 Adgangskurser - videregående udd.,12.0,16.0,18.0,16.0,16.0,Low
Kvinder,Efterkommere,30-34 år,H3520 Adgangseksamen - ingeniøruddannelse,1.0,2.0,1.0,2.0,2.0,Low
