køn,herkomst,alder,uddannelse,2020,2021,2022,2023,2024,education_level
Mænd,Efterkommere,30-34 år,MVU,1570.0,1872.0,2334.0,2654.0,2962.0,Medium
Mænd,Efterkommere,30-34 år,H80 Ph.d. og forskeruddannelser,26.0,30.0,43.0,44.0,40.0,High
Mænd,Efterkommere,35-39 år,BACH,152.0,166.0,194.0,242.0,294.0,High
Mænd,Efterkommere,35-39 år,H3091 Grundforløb,0.0,0.0,1.0,1.0,1.0,Low
Mænd,Efterkommere,35-39 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,2.0,3.0,7.0,13.0,5.0,Other
Mænd,Efterkommere,35-39 år,H35 Adgangsgivende uddannelsesforløb,2.0,2.0,4.0,10.0,13.0,Low
Mænd,Efterkommere,35-39 år,H3510 Adgangskurser - videregående udd.,2.0,2.0,3.0,7.0,8.0,Low
Mænd,Efterkommere,35-39 år,H3520 Adgangseksamen - ingeniøruddannelse,0.0,0.0,1.0,3.0,5.0,Low
Mænd,Efterkommere,35-39 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Mænd,Efterkommere,35-39 år,H80 Ph.d. og forskeruddannelser,22.0,24.0,24.0,27.0,39.0,High
Mænd,Efterkommere,35-39 år,KVU,384.0,406.0,486.0,562.0,686.0,Medium
Mænd,Efterkommere,35-39 år,LVU,750.0,824.0,1038.0,1224.0,1396.0,High
Mænd,Efterkommere,35-39 år,MVU,706.0,778.0,988.0,1192.0,1482.0,Medium
Mænd,Efterkommere,35-39 år,H80 Ph.d. og forskeruddannelser,22.0,24.0,24.0,27.0,39.0,High
Mænd,Indvandrere,20-24 år,BACH,4516.0,4512.0,4630.0,10410.0,12362.0,High
Mænd,Indvandrere,20-24 år,H3091 Grundforløb,0.0,0.0,119.0,195.0,205.0,Low
Mænd,Indvandrere,20-24 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,821.0,1218.0,1304.0,1204.0,1073.0,Other
Mænd,Indvandrere,20-24 år,H35 Adgangsgivende uddannelsesforløb,27.0,21.0,15.0,10.0,19.0,Low
Mænd,Indvandrere,20-24 år,H3510 Adgangskurser - videregående udd.,6.0,3.0,1.0,2.0,6.0,Low
Mænd,Indvandrere,20-24 år,H3520 Adgangseksamen - ingeniøruddannelse,21.0,18.0,14.0,8.0,13.0,Low
Mænd,Indvandrere,20-24 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Mænd,Indvandrere,20-24 år,H80 Ph.d. og forskeruddannelser,39.0,62.0,33.0,22.0,22.0,High
Mænd,Indvandrere,20-24 år,KVU,3566.0,3688.0,3556.0,4744.0,5826.0,Medium
Mænd,Indvandrere,20-24 år,LVU,1188.0,1490.0,1480.0,1404.0,1188.0,High
Mænd,Indvandrere,20-24 år,MVU,5320.0,5982.0,7846.0,2750.0,1928.0,Medium
Mænd,Indvandrere,20-24 år,H80 Ph.d. og forskeruddannelser,39.0,62.0,33.0,22.0,22.0,High
Mænd,Indvandrere,25-29 år,BACH,6630.0,6428.0,6734.0,13378.0,17110.0,High
Mænd,Indvandrere,25-29 år,H3091 Grundforløb,0.0,0.0,42.0,71.0,74.0,Low
Mænd,Indvandrere,25-29 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,2036.0,2115.0,2422.0,2451.0,2186.0,Other
Mænd,Indvandrere,25-29 år,H35 Adgangsgivende uddannelsesforløb,72.0,61.0,51.0,50.0,38.0,Low
Mænd,Indvandrere,25-29 år,H3510 Adgangskurser - videregående udd.,24.0,21.0,16.0,16.0,12.0,Low
Mænd,Indvandrere,25-29 år,H3520 Adgangseksamen - ingeniøruddannelse,48.0,40.0,35.0,34.0,26.0,Low
Mænd,Indvandrere,25-29 år,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0,Low
Mænd,Indvandrere,25-29 år,H80 Ph.d. og forskeruddannelser,325.0,366.0,463.0,419.0,414.0,High
Mænd,Indvandrere,25-29 år,KVU,4296.0,4336.0,4560.0,4854.0,5320.0,Medium
Mænd,Indvandrere,25-29 år,LVU,14084.0,14770.0,14800.0,15082.0,14690.0,High
Mænd,Indvandrere,25-29 år,MVU,13552.0,12478.0,14870.0,10552.0,8814.0,Medium
Mænd,Indvandrere,25-29 år,H80 Ph.d. og forskeruddannelser,325.0,366.0,463.0,419.0,414.0,High
Mænd,Indvandrere,30-34 år,BACH,1794.0,2008.0,2218.0,6140.0,8524.0,High
Mænd,Indvandrere,30-34 år,H3091 Grundforløb,0.0,0.0,7.0,16.0,19.0,Low
Mænd,Indvandrere,30-34 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,3488.0,3688.0,4110.0,4047.0,3407.0,Other
Mænd,Indvandrere,30-34 år,H35 Adgangsgivende uddannelsesforløb,71.0,71.0,76.0,65.0,55.0,Low
Mænd,Indvandrere,30-34 år,H3510 Adgangskurser - videregående udd.,23.0,21.0,24.0,30.0,30.0,Low
Mænd,Indvandrere,30-34 år,H3520 Adgangseksamen - ingeniøruddannelse,47.0,49.0,52.0,35.0,25.0,Low
Mænd,Indvandrere,30-34 år,H3530 Adgangsgivende værkstedsskoleforløb,1.0,1.0,0.0,0.0,0.0,Low
Mænd,Indvandrere,30-34 år,H80 Ph.d. og forskeruddannelser,1734.0,1758.0,1972.0,2086.0,2164.0,High
Mænd,Indvandrere,30-34 år,KVU,4988.0,5022.0,5202.0,5684.0,5914.0,Medium
Mænd,Indvandrere,30-34 år,LVU,18244.0,18358.0,19322.0,19480.0,19700.0,High
Mænd,Indvandrere,30-34 år,MVU,16176.0,16184.0,18882.0,15880.0,14722.0,Medium
Mænd,Indvandrere,30-34 år,H80 Ph.d. og forskeruddannelser,1734.0,1758.0,1972.0,2086.0,2164.0,High
Mænd,Indvandrere,35-39 år,BACH,726.0,758.0,836.0,3478.0,4444.0,High
Mænd,Indvandrere,35-39 år,H3091 Grundforløb,0.0,0.0,2.0,7.0,8.0,Low
Mænd,Indvandrere,35-39 år,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,4075.0,4443.0,4799.0,4796.0,4556.0,Other
Mænd,Indvandrere,35-39 år,H35 Adgangsgivende uddannelsesforløb,64.0,69.0,66.0,71.0,64.0,Low
Mænd,Indvandrere,35-39 år,H3510 Adgangskurser - videregående udd.,23.0,27.0,25.0,24.0,24.0,Low
Mænd,Indvandrere,35-39 år,H3520 Adgangseksamen - ingeniøruddannelse,40.0,42.0,41.0,47.0,40.0,Low
Mænd,Indvandrere,35-39 år,H3530 Adgangsgivende værkstedsskoleforløb,1.0,0.0,0.0,0.0,0.0,Low
Mænd,Indvandrere,35-39 år,H80 Ph.d. og forskeruddannelser,2124.0,2214.0,2463.0,2588.0,2942.0,High
Mænd,Indvandrere,35-39 år,KVU,4028.0,4456.0,4894.0,5716.0,6042.0,Medium
Mænd,Indvandrere,35-39 år,LVU,16424.0,17172.0,18162.0,19012.0,19358.0,High
Mænd,Indvandrere,35-39 år,MVU,12208.0,13580.0,16356.0,15734.0,16434.0,Medium
Mænd,Indvandrere,35-39 år,H80 Ph.d. og forskeruddannelser,2124.0,2214.0,2463.0,2588.0,2942.0,High
