område,køn,alder,herkomst,uddannelse,2020,2021,2022,2023,2024
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Dansk oprindelse,Ph.d.,1.0,0.0,0.0,0.0,1.0
Hele landet,Mænd,20-24 år,Indvandrere,H3091 Grundforløb,0.0,0.0,119.0,195.0,205.0
Hele landet,Mænd,20-24 år,Indvandrere,H3097 H3097 Erhvervsfaglige uddannelser uden nærmere angivelse,821.0,1218.0,1304.0,1204.0,1073.0
Hele landet,Mænd,20-24 år,Indvandrere,H35 Adgangsgivende uddannelsesforløb,27.0,21.0,15.0,10.0,19.0
Hele landet,Mænd,20-24 år,Indvandrere,H3510 Adgangskurser - videregående udd.,6.0,3.0,1.0,2.0,6.0
Hele landet,Mænd,20-24 år,Indvandrere,H3520 Adgangseksamen - ingeniøruddannelse,21.0,18.0,14.0,8.0,13.0
Hele landet,Mænd,20-24 år,Indvandrere,H3530 Adgangsgivende værkstedsskoleforløb,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,KVU,1783.0,1844.0,1778.0,2372.0,2913.0
Hele landet,Mænd,20-24 år,Indvandrere,KVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,KVU,105.0,94.0,93.0,84.0,49.0
Hele landet,Mænd,20-24 år,Indvandrere,KVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,KVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,KVU,428.0,419.0,393.0,367.0,273.0
Hele landet,Mænd,20-24 år,Indvandrere,KVU,214.0,217.0,201.0,164.0,153.0
Hele landet,Mænd,20-24 år,Indvandrere,KVU,3.0,6.0,8.0,6.0,7.0
Hele landet,Mænd,20-24 år,Indvandrere,KVU,5.0,3.0,2.0,1.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,KVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,KVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,KVU,3.0,3.0,1.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,KVU,1025.0,1102.0,1080.0,1750.0,2431.0
Hele landet,Mænd,20-24 år,Indvandrere,MVU,2660.0,2991.0,3923.0,1375.0,964.0
Hele landet,Mænd,20-24 år,Indvandrere,MVU,12.0,9.0,15.0,12.0,14.0
Hele landet,Mænd,20-24 år,Indvandrere,MVU,6.0,6.0,8.0,9.0,12.0
Hele landet,Mænd,20-24 år,Indvandrere,MVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,MVU,31.0,31.0,21.0,9.0,9.0
Hele landet,Mænd,20-24 år,Indvandrere,MVU,157.0,181.0,200.0,171.0,116.0
Hele landet,Mænd,20-24 år,Indvandrere,MVU,0.0,0.0,0.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,MVU,369.0,338.0,295.0,283.0,271.0
Hele landet,Mænd,20-24 år,Indvandrere,MVU,0.0,0.0,1.0,0.0,0.0
Hele landet,Mænd,20-24 år,Indvandrere,MVU,2.0,0.0,1.0,3.0,2.0
